NAME,DESCRIPTION,DEVICE POOL,LOCATION,CONFERENCE BRIDGE TYPE,SERVER,SPECIAL LOAD INFORMATION,COMMON DEVICE CONFIGURATION,DEVICE SECURITY PROFILE,SUB UNIT,DEVICE PROTOCOL,USE TRUSTED RELAY POINT,SIP PROFILE,SIP TRUNK SECURITY PROFILE,SRTP ALLOWED,ALLOW CFB CONTROL OF CALL SECURITY ICON,DESTINATION ADDRESS,MCU CONFERENCE BRIDGE SIP PORT,USER NAME,PASSWORD,HTTP PORT,USE HTTPS,CONFRENCE BRIDGE PRIFIX,OVERRIDE SIP TRUNK DESTINATION AS HTTP ADDRESS,SIPTRUNK NAME,XML,HOSTNAME/IP ADDRESS 1
XCONF_RIO,HW - Conference - Rio,DP_CFB,Hub_None,Cisco IOS Enhanced Conference Bridge,NULL,NULL,NULL,Non Secure Conference Bridge,0,SCCP,Default,NULL,Non Secure Conference Bridge,f,f,,,,,,,,,,NULL,
CFB_Miami2,CFB_Miami 2,DP_CFB,Hub_None,Cisco Conference Bridge Software,10.2.23.22,NULL,NULL,Non Secure Conference Bridge,0,Unicast Bridge,Default,NULL,Non Secure Conference Bridge,f,f,,,,,,,,,,NULL,
XCONF_Miami2,XCONF_Miami2,DP_CFB,Hub_None,Cisco IOS Enhanced Conference Bridge,NULL,NULL,NULL,Non Secure Conference Bridge,0,SCCP,Default,NULL,Non Secure Conference Bridge,f,f,,,,,,,,,,NULL,
CFB_6,CFB_10.2.2.75,DP_CFB,Hub_None,Cisco Conference Bridge Software,10.2.2.75,NULL,NULL,Non Secure Conference Bridge,0,Unicast Bridge,Default,NULL,Non Secure Conference Bridge,f,f,,,,,,,,,,NULL,
XCONF_BOCA,HW - Conference - Boca,DP_CFB,Hub_None,Cisco IOS Conference Bridge,NULL,NULL,NULL,Non Secure Conference Bridge,0,Unicast Bridge,Default,NULL,Non Secure Conference Bridge,f,f,,,,,,,,,,NULL,
XCONF_BOGOTA,HW - Conference - Bogotá,DP_CFB,Hub_None,Cisco IOS Enhanced Conference Bridge,NULL,NULL,NULL,Non Secure Conference Bridge,0,SCCP,Default,NULL,Non Secure Conference Bridge,f,f,,,,,,,,,,NULL,
XCONF_BERMUDA,HW - Conference - Bermuda,DP_CFB,Hub_None,Cisco IOS Enhanced Conference Bridge,NULL,NULL,NULL,Non Secure Conference Bridge,0,SCCP,Default,NULL,Non Secure Conference Bridge,f,f,,,,,,,,,,NULL,
XCONF_TUCKERTON,HW - Conference - Tuckerton,DP_CFB,Hub_None,Cisco IOS Enhanced Conference Bridge,NULL,NULL,NULL,Non Secure Conference Bridge,0,SCCP,Default,NULL,Non Secure Conference Bridge,f,f,,,,,,,,,,NULL,
CFB_Miami1,CFB_Miami 1,DP_CFB,Hub_None,Cisco Conference Bridge Software,10.2.23.11,NULL,NULL,Non Secure Conference Bridge,0,Unicast Bridge,Default,NULL,Non Secure Conference Bridge,f,f,,,,,,,,,,NULL,
XCONF_FORTALEZA,HW - Conference - Fortaleza,DP_CFB,Hub_None,Cisco IOS Enhanced Conference Bridge,NULL,NULL,NULL,Non Secure Conference Bridge,0,SCCP,Default,NULL,Non Secure Conference Bridge,f,f,,,,,,,,,,NULL,
